PMY,BMY
22003.81957,5725.178278
21001.7887,5464.459663
20314.95978,5285.753506
19795.46028,5150.584826
19431.61606,5055.916125
19406.32208,5049.334879
19406.32208,5049.334879
19005.50973,4945.047433
21186.62935,5512.553388
23001.95905,5984.884393
24233.58146,6305.340477
24455.39023,6363.052947
23706.2992,6168.146798
24044.84943,6256.234252
24056.52358,6259.27175
24272.49528,6315.465471
23558.42668,6129.671818
22628.38638,5887.684443
22579.74411,5875.0282
25019.64062,6509.86537
24404.80227,6349.890453
23873.62862,6211.684275
23266.57303,6053.734357
22373.50086,5821.365728
21441.51487,5578.872104
20464.77798,5324.734736
19721.52402,5131.347336
19363.51688,5038.197384
18830.39754,4899.484956
18752.5699,4879.234967
18661.12242,4855.441229
17604.61221,4580.547622
18587.18616,4836.203739
19748.76369,5138.434832
20688.53245,5382.953455
21110.7474,5492.809648
20846.13342,5423.959684
21196.3578,5515.084637
21326.7191,5549.003369
21136.04138,5499.390895
20497.85473,5333.340981
20030.88889,5211.841044
21054.32236,5478.128406
23287.97563,6059.303104
23394.98864,6087.14684
23122.5919,6016.271877
22431.87159,5836.55322
21387.03552,5564.697111
20439.484,5318.153489
19567.81443,5091.353607
18951.03038,4930.87244
18369.26877,4779.503769
18573.56633,4832.659991
19174.78485,4989.09116
19608.67394,5101.984851
20984.27748,5459.903415
23980.64163,6239.528011
25494.38923,6633.390306
27152.11797,7064.715082
27097.63862,7050.54009
26313.52514,6846.521446
27407.00349,7131.033798
27352.52414,7116.858805
27704.69421,7208.490008
27194.92317,7075.852576
25852.39637,6726.540258
24827.01722,6459.746646
26434.15799,6877.908929
26142.30433,6801.971469
25103.30534,6531.634109
24422.31349,6354.446701
23048.65564,5997.034387
21723.64006,5652.278316
21153.5526,5503.947143
20135.9562,5239.17853
19968.62678,5195.641053
19774.05768,5145.016079
20579.57375,5354.60347
20431.70124,5316.12849
21501.83129,5594.565846
24661.63348,6416.715419
25902.98434,6739.702751
27136.55244,7060.665084
26918.63505,7003.965114
26368.00449,6860.696438
27212.43439,7080.408824
27449.80869,7142.171292
27237.72837,7086.990071
27041.21358,7035.858847
25554.70565,6649.084048
25237.55802,6566.565341
26506.14855,6896.64017
26251.26303,6830.321454
24992.40095,6502.777874
24109.05723,6272.940493
22361.82671,5818.328229
21248.89146,5528.75338
20690.47814,5383.459705
19910.25605,5180.453561
19704.0128,5126.791088
19931.65865,5186.022308
20359.71067,5297.39725
20735.22903,5395.103449
21634.13828,5628.990828
24249.14699,6309.390474
25871.85328,6731.602755
26726.01164,6953.84639
26747.41424,6959.415137
26231.80612,6825.258957
27025.64805,7031.808849
27356.41552,7117.871305
27253.2939,7091.040069
26667.64091,6938.658898
24918.46469,6483.540384
24544.89202,6386.340434
26387.4614,6865.758936
26037.23702,6774.633983
25031.31477,6512.902869
23756.88716,6181.309291
22782.09597,5927.678173
21534.90804,5603.172091
20357.76498,5296.891
20311.06839,5284.741006
19772.11199,5144.509829
19723.46971,5131.853586
20550.38839,5347.009724
20009.48629,5206.272297
21278.07682,5536.347126
24272.49528,6315.465471
25720.08939,6692.115276
26945.87472,7011.05261
26550.89945,6908.283913
25566.3798,6652.121546
26476.96319,6889.046423
26704.60903,6948.277643
26918.63505,7003.965114
26243.48027,6828.296455
24840.63705,6463.290395
24527.3808,6381.784187
26101.44482,6791.340224
25393.2133,6607.06532
24208.28748,6298.75923
23182.90832,6031.965618
22066.08168,5741.378269
21134.09569,5498.884645
20244.9149,5267.528515
19923.87588,5183.997309
20003.64922,5204.753548
19540.57476,5084.26611
20165.14157,5246.772276
20552.33408,5347.515974
21023.1913,5470.02841
23799.69237,6192.446785
25037.15184,6514.421618
26422.48384,6874.871431
26443.88644,6880.440178
24980.7268,6499.740376
25535.24874,6644.021551
26510.03993,6897.652669
26447.77782,6881.452677
26122.84742,6796.908971
24669.41624,6418.740418
24426.20487,6355.4592
25780.40581,6707.809018
25196.69851,6555.934096
24157.69951,6285.596737
23328.83514,6069.934349
21988.25404,5721.12828
21235.27162,5525.209632
20451.15815,5321.190987
19910.25605,5180.453561
19760.43784,5141.472331
19883.01637,5173.366064
19705.95849,5127.297338
19635.91362,5109.072348
19585.32565,5095.909854
21992.14542,5722.140779
23001.95905,5984.884393
23912.54244,6221.80927
24167.42796,6288.127985
23782.18115,6187.890537
23937.83643,6228.390516
23805.52944,6193.965534
23930.05366,6226.365518
23134.26604,6019.309375
22735.39939,5915.528179
22603.0924,5881.103197
24881.49656,6473.921639
24391.18243,6346.346705
23850.28033,6205.609278
23217.93075,6041.078114
22387.1207,5824.909476
21375.36137,5561.659613
20573.73668,5353.084721
19770.1663,5144.003579
19287.63493,5018.453645
18824.56047,4897.966207
19058.04339,4958.716176
18703.92762,4866.578723
18102.7091,4710.147555
18822.61478,4897.459957
19853.83101,5165.772318
20892.83,5436.109678
21081.56203,5485.215902
20807.2196,5413.834689
21377.30706,5562.165862
21420.11227,5573.303357
21567.98478,5611.778337
21264.45699,5532.803378
20700.2066,5385.990954
20888.93862,5435.097178
23733.53887,6175.234294
23910.59675,6221.30302
23470.87059,6106.89058
23142.04881,6021.334374
21746.98836,5658.353312
20612.6505,5363.209716
19756.54646,5140.459831
19172.83916,4988.58491
18937.41055,4927.328692
18826.50616,4898.472457
19098.9029,4969.34742
19779.89475,5146.534828
20725.50058,5392.5722
24414.53072,6352.421702
26183.16385,6812.602713
27508.17942,7157.358784
27477.04836,7149.258788
26988.67992,7022.190104
27803.92445,7234.308744
28582.20085,7436.808639
28947.99076,7531.98359
28315.64119,7367.452425
25811.53686,6715.909013
25095.52257,6529.60911
27319.44739,7108.25256
26899.17814,6998.902616
26243.48027,6828.296455
25350.4081,6595.927826
24128.51414,6278.002991
22924.13141,5964.634403
21887.07811,5694.803293
21320.88203,5547.48462
20608.75912,5362.197216
20612.6505,5363.209716
20774.14285,5405.228444
21083.50772,5485.722152
21920.15485,5703.409539
24807.56031,6454.684149
26784.38237,6969.033882
28159.98591,7326.952446
28051.02721,7298.602461
27593.78982,7179.633773
28356.5007,7378.08367
28835.14068,7502.621105
29158.12539,7586.658561
28268.9446,7355.302431
26251.26303,6830.321454
25611.13069,6663.76529
27471.21129,7147.740039
27309.71894,7105.721311
26729.90302,6954.858889
25976.9206,6758.940241
24416.47641,6352.927952
