PMY,BMY
39886.66559,10378.11961
38750.38204,10082.46977
37551.83638,9770.619927
36442.79251,9482.057577
35279.26929,9179.320234
35341.5314,9195.520226
34368.6859,8942.395357
33100.09537,8612.320529
34543.79809,8987.957834
36660.7099,9538.757548
37987.67117,9884.019869
38123.86954,9919.45735
38123.86954,9919.45735
38493.55083,10015.6448
39038.34431,10157.39473
38878.79765,10115.88225
38454.63701,10005.51981
37975.99702,9880.98237
39948.9277,10394.3196
43964.83393,11439.21906
43248.81964,11252.91916
42505.56568,11059.53176
41536.61156,10807.41939
40637.70232,10573.53201
38590.83538,10040.95729
36415.55284,9474.970081
35598.36262,9262.345191
34960.17597,9096.295278
34372.57728,8943.407857
34205.24786,8899.87038
34676.10508,9022.382816
33800.54413,8794.570434
37014.82567,9630.895
39544.22397,10289.01966
42128.10163,10961.31931
42283.75691,11001.81929
42116.42748,10958.28181
43198.23168,11239.75666
43618.50094,11349.10661
43556.23882,11332.90662
43167.10062,11231.65667
41991.90326,10925.88183
42637.87267,11093.95674
47140.20165,12265.41863
46630.43061,12132.7812
45743.19551,11901.93132
44182.75133,11495.91903
43206.01444,11241.78166
40400.32801,10511.76954
39353.54625,10239.40718
37754.18825,9823.2699
37186.04648,9675.444977
36870.84453,9593.432519
37345.59314,9716.957455
38680.33717,10064.24478
40443.13322,10522.90704
47770.60554,12429.44355
51335.11146,13356.89307
53666.04928,13963.38025
53876.18391,14018.05522
52607.59338,13687.98039
54350.93252,14141.58016
55066.9468,14327.88006
55160.33997,14352.18005
53961.79431,14040.33021
50128.78304,13043.01823
48860.1925,12712.9434
52743.79175,13723.41788
51704.79275,13453.08052
49918.64841,12988.34326
47502.10018,12359.58108
45027.18122,11715.63142
43011.44534,11191.15669
41797.33416,10875.25685
40470.37289,10529.99453
39641.50852,10314.33215
39509.20153,10279.90716
40345.84867,10497.59455
40034.53811,10416.59459
40738.87825,10599.857
47210.24653,12283.64362
51253.39244,13335.63058
53257.45417,13857.06781
53436.45774,13903.64278
52125.06201,13562.43046
54308.12731,14130.44266
55140.88306,14347.11755
55487.21606,14437.23
54432.65154,14162.84265
50327.24352,13094.6557
48735.66828,12680.54342
52665.96411,13703.16789
51891.57909,13501.68049
50428.41945,13120.98069
48412.68357,12596.50596
46323.01143,12052.79374
43657.41476,11359.2316
42205.92927,10981.5693
40384.76249,10507.71954
39427.48251,10258.64467
38948.84252,10134.10724
39836.07762,10364.95712
40443.13322,10522.90704
41318.69417,10750.71942
48136.39545,12524.6185
51786.51177,13474.343
54066.86163,14067.6677
54047.40472,14062.6052
52988.94881,13787.20534
55055.27266,14324.84256
56347.21149,14660.99239
56234.36141,14631.6299
55261.51591,14378.50504
50545.16091,13151.35567
49109.24095,12777.74337
53510.394,13922.88027
52844.96768,13749.74286
51089.95439,13293.1056
48984.71673,12745.34338
46544.82021,12110.50621
43809.17865,11398.71908
42178.68959,10974.4818
40606.57126,10565.43201
39855.53453,10370.01962
39559.7895,10293.06966
39945.03632,10393.3071
39762.14136,10345.71963
41427.65286,10779.0694
47354.22766,12321.1061
50611.31441,13168.56816
53471.48018,13912.75528
53311.93352,13871.2428
51626.96511,13432.83053
52981.16605,13785.18034
55234.27623,14371.41754
55638.97996,14476.71748
54238.08244,14112.21767
49856.3863,12972.14327
48720.10275,12676.49342
53082.34198,13811.50533
52031.66884,13538.13047
50062.62954,13025.80574
48225.89723,12547.90599
46373.5994,12065.95624
44007.63914,11450.35656
42003.5774,10928.91933
40629.91955,10571.50701
39590.92056,10301.16965
38863.23212,10111.83225
38812.64415,10098.66976
38812.64415,10098.66976
38011.01946,9890.094865
42373.25869,11025.10678
46003.91811,11969.76879
48467.16292,12610.68095
48910.78047,12726.10589
47412.59839,12336.2936
48089.69886,12512.4685
48113.04716,12518.5435
48544.99056,12630.93094
47116.85336,12259.34364
45256.77276,11775.36889
45159.48821,11750.0564
50039.28125,13019.73074
48809.60454,12699.78091
47747.25725,12423.36855
46533.14606,12107.46871
44747.00172,11642.73146
42883.02974,11157.74421
40929.55597,10649.46947
39443.04804,10262.69467
38727.03375,10076.39477
37660.79508,9798.969913
37505.1398,9758.469934
37322.24485,9710.882458
35209.22441,9161.095244
37174.37233,9672.407478
39497.52739,10276.86966
41377.0649,10765.90691
42221.49479,10985.6193
41692.26684,10847.91937
42392.7156,11030.16927
42653.4382,11098.00674
42272.08276,10998.78179
40995.70946,10666.68196
40061.77778,10423.68209
42108.64472,10956.25681
46575.95126,12118.60621
46789.97727,12174.29368
46245.18379,12032.54375
44863.74318,11673.10644
42774.07104,11129.39422
40878.968,10636.30698
39135.62886,10182.70721
37902.06076,9861.74488
36738.53754,9559.007537
37147.13265,9665.319982
38349.5697,9978.18232
39217.34788,10203.9697
41968.55496,10919.80683
47961.28326,12479.05602
50988.77846,13266.78061
54304.23593,14129.43016
54195.27724,14101.08018
52627.05029,13693.04289
54814.00697,14262.0676
54705.04828,14233.71761
55409.38842,14416.98002
54389.84634,14151.70515
51704.79275,13453.08052
49654.03443,12919.49329
52868.31597,13755.81786
52284.60867,13603.94294
50206.61068,13063.26822
48844.62697,12708.8934
46097.31127,11994.06877
43447.28013,11304.55663
42307.1052,11007.89429
40271.91241,10478.35706
39937.25356,10391.28211
39548.11535,10290.03216
41159.14751,10709.20694
40863.40247,10632.25698
43003.66258,11189.13169
49323.26696,12833.43084
51805.96868,13479.4055
54273.10488,14121.33017
53837.27009,14007.93023
52736.00898,13721.39288
54424.86877,14160.81765
54899.61738,14284.34258
54475.45674,14173.98014
54082.42716,14071.71769
51109.4113,13298.1681
50475.11603,13133.13068
53012.2971,13793.28034
52502.52606,13660.64291
49984.8019,13005.55575
48218.11447,12545.88099
44723.65343,11636.65646
42497.78292,11057.50676
41380.95628,10766.91941
39820.51209,10360.90712
39408.0256,10253.58218
39863.3173,10372.04462
40719.42134,10594.7945
41470.45807,10790.2069
43268.27655,11257.98166
48498.29397,12618.78095
51743.70657,13463.20551
53452.02327,13907.69278
53494.82847,13918.83027
52463.61224,13650.51791
54051.2961,14063.6177
54712.83104,14235.74261
54506.5878,14182.08014
53335.28181,13877.3178
49836.92939,12967.08077
49089.78404,12772.68087
52774.9228,13731.51787
52074.47404,13549.26797
50062.62954,13025.80574
47513.77433,12362.61858
45564.19194,11855.35635
43069.81607,11206.34418
40715.52996,10593.782
40622.13679,10569.48201
39544.22397,10289.01966
39446.93942,10263.70717
41100.77678,10694.01945
40018.97258,10412.54459
42556.15365,11072.69425
48544.99056,12630.93094
51440.17877,13384.23055
53891.74944,14022.10522
53101.79889,13816.56783
51132.75959,13304.24309
