PMY,BMY
9971.666397,2594.529903
9687.595511,2520.617441
9387.959096,2442.654982
9110.698128,2370.514394
8819.817323,2294.830059
8835.382851,2298.880057
8592.171475,2235.598839
8275.023841,2153.080132
8635.949523,2246.989458
9165.177476,2384.689387
9496.917792,2471.004967
9530.967385,2479.864338
9530.967385,2479.864338
9623.387707,2503.9112
9759.586078,2539.348682
9719.699412,2528.970562
9613.659252,2501.379951
9493.999256,2470.245593
9987.231925,2598.579901
10991.20848,2859.804765
10812.20491,2813.229789
10626.39142,2764.88294
10384.15289,2701.854847
10159.42558,2643.383003
9647.708845,2510.239322
9103.888209,2368.74252
8899.590654,2315.586298
8740.043992,2274.073819
8593.144321,2235.851964
8551.311964,2224.967595
8669.02627,2255.595704
8450.136032,2198.642609
9253.706417,2407.72375
9886.055993,2572.254915
10532.02541,2740.329827
10570.93923,2750.454822
10529.10687,2739.570453
10799.55792,2809.939166
10904.62523,2837.276652
10889.05971,2833.226654
10791.77516,2807.914167
10497.97581,2731.470457
10659.46817,2773.489185
11785.05041,3066.354658
11657.60765,3033.1953
11435.79888,2975.48283
11045.68783,2873.979758
10801.50361,2810.445416
10100.082,2627.942386
9838.386563,2559.851796
9438.547062,2455.817475
9296.511619,2418.861244
9217.711133,2398.35813
9336.398284,2429.239364
9670.084292,2516.061194
10110.7833,2630.726759
11942.65138,3107.360887
12833.77786,3339.223266
13416.51232,3490.845063
13469.04598,3504.513806
13151.89834,3421.995098
13587.73313,3535.39504
13766.7367,3581.970015
13790.08499,3588.045012
13490.44858,3510.082553
12532.19576,3260.754557
12215.04813,3178.23585
13185.94794,3430.854469
12926.19819,3363.270129
12479.6621,3247.085814
11875.52505,3089.895271
11256.79531,2928.907854
10752.86134,2797.789172
10449.33354,2718.814213
10117.59322,2632.498633
9910.377131,2578.583036
9877.300384,2569.976791
10086.46217,2624.398638
10008.63453,2604.148648
10184.71956,2649.964249
11802.56163,3070.910906
12813.34811,3333.907644
13314.36354,3464.266951
13359.11444,3475.910695
13031.2655,3390.607615
13577.03183,3532.610666
13785.22077,3586.779388
13871.80402,3609.307501
13608.16288,3540.710662
12581.81088,3273.663925
12183.91707,3170.135854
13166.49103,3425.791971
12972.89477,3375.420123
12607.10486,3280.245172
12103.17089,3149.12649
11580.75286,3013.198436
10914.35369,2839.807901
10551.48232,2745.392325
10096.19062,2626.929886
9856.870628,2564.661169
9737.210631,2533.52681
9959.019406,2591.23928
10110.7833,2630.726759
10329.67354,2687.679855
12034.09886,3131.154624
12946.62794,3368.585751
13516.71541,3516.916924
13511.85118,3515.6513
13247.2372,3446.801336
13763.81816,3581.210641
14086.80287,3665.248097
14058.59035,3657.907476
13815.37898,3594.626259
12636.29023,3287.838918
12277.31024,3194.435842
13377.5985,3480.720068
13211.24192,3437.435715
12772.4886,3323.2764
12246.17918,3186.335846
11636.20505,3027.626553
10952.29466,2849.679771
10544.6724,2743.620451
10151.64282,2641.358004
9963.883633,2592.504904
9889.947375,2573.267414
9986.25908,2598.326776
9940.535341,2586.429907
10356.91322,2694.767351
11838.55692,3080.276526
12652.8286,3292.142041
13367.87005,3478.188819
13327.98338,3467.8107
12906.74128,3358.207632
13245.29151,3446.295086
13808.56906,3592.854385
13909.74499,3619.179371
13559.52061,3528.054418
12464.09657,3243.035816
12180.02569,3169.123355
13270.5855,3452.876332
13007.91721,3384.532618
12515.65739,3256.451434
12056.47431,3136.976496
11593.39985,3016.489059
11001.90978,2862.589139
10500.89435,2732.229832
10157.47989,2642.876753
9897.730139,2575.292413
9715.80803,2527.958063
9703.161039,2524.667439
9703.161039,2524.667439
9502.754865,2472.523716
10593.31467,2756.276694
11500.97953,2992.442196
12116.79073,3152.670238
12227.69512,3181.526473
11853.1496,3084.073399
12022.42472,3128.117126
12028.26179,3129.635875
12136.24764,3157.732736
11779.21334,3064.835909
11314.19319,2943.842222
11289.87205,2937.5141
12509.82031,3254.932685
12202.40113,3174.945227
11936.81431,3105.842138
11633.28651,3026.867179
11186.75043,2910.682864
10720.75743,2789.436052
10232.38899,2662.367368
9860.76201,2565.673668
9681.758438,2519.098692
9415.19877,2449.742478
9376.28495,2439.617483
9330.561211,2427.720615
8802.306104,2290.273811
9293.593082,2418.10187
9874.381847,2569.217416
10344.26622,2691.476728
10555.3737,2746.404824
10423.06671,2711.979842
10598.1789,2757.542318
10663.35955,2774.501685
10568.02069,2749.695447
10248.92737,2666.670491
10015.44444,2605.920522
10527.16118,2739.064203
11643.98782,3029.651552
11697.49432,3043.57342
11561.29595,3008.135938
11215.93579,2918.27661
10693.51776,2782.348556
10219.742,2659.076745
9783.907215,2545.676803
9475.515191,2465.43622
9184.634386,2389.751884
9286.783164,2416.329996
9587.392424,2494.54558
9804.336971,2550.992426
10492.13874,2729.951708
11990.32081,3119.764005
12747.19461,3316.695153
13576.05898,3532.357541
13548.81931,3525.270045
13156.76257,3423.260723
13703.50174,3565.516899
13676.26207,3558.429403
13852.34711,3604.245004
13597.46158,3537.926288
12926.19819,3363.270129
12413.50861,3229.873323
13217.07899,3438.954465
